customer_id,first_name,last_name,email,phone,address,city,state,country,age,gender,registration_date,is_active,_ingested_at,_source,_batch_id,_ingested_date
32,Oviya,Ganguly,oviya.ganguly917@gmail.com,+919051867615,"H.No. 11, Chaudry Ganj",Mumbai,Rajasthan,India,41,Female,2026-03-31,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
33,Dev,Rajan,dev.rajan862@yahoo.com,+918653148090,"35/91
Ratti Circle",Nagpur,Karnataka,India,36,Male,2024-07-19,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
34,Veda,Mohan,veda.mohan36@outlook.com,+919389000906,"H.No. 01
Keer Street",Indore,Rajasthan,India,61,Female,2025-03-27,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
35,Ishwar,Subramanian,ishwar.subramanian670@hotmail.com,+919503512162,"H.No. 776, Virk Marg",Indore,Gujarat,India,61,Male,2025-12-21,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
36,Azad,Gokhale,azad.gokhale376@yahoo.com,+917433610043,"732
Bal Circle",Delhi,West Bengal,India,48,Male,2024-09-17,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
37,Kritika,Viswanathan,kritika.viswanathan851@outlook.com,+918017491820,"H.No. 998, Nanda Circle",Kochi,Kerala,India,24,Female,2025-09-01,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
38,Abeer,Thaman,abeer.thaman920@hotmail.com,+918397699889,"25
Kashyap",Mumbai,Kerala,India,44,Male,2025-11-17,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
39,Barkha,Barad,barkha.barad348@gmail.com,+917527318967,"446, Ranganathan Ganj",Nagpur,Telangana,India,51,Female,2025-08-06,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
40,Tanmayi,Gopal,tanmayi.gopal983@outlook.com,+919673785109,"69, Sidhu Circle",Lucknow,Rajasthan,India,53,Female,2025-12-17,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
41,Upasna,Mallick,upasna.mallick710@yahoo.com,+919074981833,"795
Raval Ganj",Bengaluru,West Bengal,India,27,Female,2026-03-04,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
42,Tony,Reyes,tony.reyes616@gmail.com,989-671-8418x597,973 Levy Mills Apt. 445,Suzannefort,Iowa,Belize,63,Male,2024-11-19,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
43,Dhriti,Kadakia,dhriti.kadakia590@yahoo.com,+918322722604,"33, Mahajan Marg",Chandigarh,Maharashtra,India,23,Female,2025-12-11,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
44,Melissa,Marquez,melissa.marquez718@hotmail.com,769-327-5727,08328 Williams Junctions,Petersonland,Alaska,Bosnia and Herzegovina,37,Female,2025-02-26,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
45,Ojasvi,Jaggi,ojasvi.jaggi910@outlook.com,+917721529882,"226, Bawa Street",Kolkata,Gujarat,India,57,Female,2024-08-01,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
46,Michael,Pierce,michael.pierce43@yahoo.com,(875)531-1404x6114,6967 Leah Lodge Suite 192,Lake Johntown,Hawaii,Trinidad and Tobago,37,Male,2025-01-28,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
47,Kristen,Hicks,kristen.hicks412@yahoo.com,001-203-487-5808x1998,9994 Welch Hills Apt. 907,Rossland,Louisiana,Cuba,19,Female,2025-11-24,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
48,Stanley,Ware,stanley.ware407@yahoo.com,247-560-6613,60199 Courtney Ford,Melendezshire,Tennessee,Georgia,24,Male,2025-10-24,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
49,Christina,Williamson,christina.williamson760@outlook.com,(695)875-3180x30820,7432 Case Parkway,Novakfort,Washington,Marshall Islands,35,Female,2025-05-12,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
50,Yuvraj,Walia,yuvraj.walia758@yahoo.com,+919071245111,"87/998
Pingle Zila",Chennai,Kerala,India,19,Male,2024-06-03,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
51,Earl,Williams,earl.williams655@hotmail.com,935.287.1092x1922,689 Velazquez Knolls Suite 997,Lake Shawnton,Florida,Liberia,46,Male,2026-02-23,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
52,Nathan,Nguyen,nathan.nguyen976@outlook.com,+1-318-782-1031x623,4703 Mariah Club,West Brianfort,Michigan,Serbia,23,Male,2025-11-22,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
53,Angela,Dennis,angela.dennis157@outlook.com,666-613-6611,1942 Adams Forest,South James,New Jersey,Switzerland,24,Female,2025-11-14,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
54,Kenneth,Bradley,kenneth.bradley123@hotmail.com,001-719-986-2816x805,4761 Charles Union Suite 937,West Jeffreyton,Maine,Bulgaria,37,Male,2025-09-07,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
55,Patricia,Johnson,patricia.johnson720@yahoo.com,001-399-314-2424,987 Brandi Burgs,North Christopher,North Carolina,Vietnam,53,Female,2024-11-16,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
56,David,Iyengar,david.iyengar74@yahoo.com,+917506457470,"28/671, Tandon Marg",Delhi,Maharashtra,India,39,Male,2025-07-27,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
57,Naksh,Korpal,naksh.korpal999@outlook.com,+918127694230,"266, Dass Chowk",Pune,Karnataka,India,31,Male,2025-08-31,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
58,Tonya,Mack,tonya.mack367@yahoo.com,001-419-947-1448x417,014 Lori Mews,East Patrickbury,Vermont,Seychelles,48,Female,2024-08-15,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
59,Rehaan,Bhatnagar,rehaan.bhatnagar378@gmail.com,+918508064643,"H.No. 466
Ranganathan Circle",Ahmedabad,West Bengal,India,56,Male,2024-09-29,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
60,Lauren,Thomas,lauren.thomas250@hotmail.com,371.634.5111,786 Johnson Roads Suite 334,Draketon,New Jersey,Uruguay,63,Female,2025-10-03,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
61,Aaron,Thompson,aaron.thompson108@outlook.com,+1-551-605-4599x2999,96699 Luna Street,West Jasmineborough,Minnesota,South Africa,37,Male,2026-02-21,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
62,Ekavir,Gade,ekavir.gade204@outlook.com,+917903259717,"23/93
Agarwal Circle",Nagpur,Tamil Nadu,India,62,Male,2025-07-03,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
63,Isha,Prabhu,isha.prabhu949@outlook.com,+918727652879,"81
Raja Zila",Jaipur,Tamil Nadu,India,44,Female,2025-10-02,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
64,Divya,Nagarajan,divya.nagarajan899@outlook.com,+919506990747,"59, Bains Road",Coimbatore,Kerala,India,20,Female,2024-04-28,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
65,Sarthak,Shenoy,sarthak.shenoy462@gmail.com,+917977491692,"04/491, Thakur Marg",Chandigarh,Rajasthan,India,64,Male,2026-02-26,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
66,Girish,Chanda,girish.chanda523@yahoo.com,+918105325135,"H.No. 712, Sinha",Pune,Gujarat,India,48,Male,2024-10-05,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
67,Vidhi,Ravi,vidhi.ravi469@yahoo.com,+917281688868,"H.No. 09, Prabhu Ganj",Kolkata,Delhi,India,45,Female,2026-02-19,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
68,Vedhika,Om,vedhika.om771@outlook.com,+919570636480,"23/315, Krishnamurthy Road",Pune,Karnataka,India,60,Female,2025-12-18,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
69,Dayamai,Radhakrishnan,dayamai.radhakrishnan118@gmail.com,+917341446801,"H.No. 27, Solanki Road",Mumbai,Kerala,India,34,Female,2025-07-28,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
70,Andrew,Webb,andrew.webb811@gmail.com,391-815-3224,311 Kathryn Canyon Suite 185,West Lindsay,Connecticut,Kenya,19,Male,2026-02-04,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
71,Jason,Andra,jason.andra676@hotmail.com,+919716463643,"82/30, Hayre Chowk",Mumbai,Delhi,India,44,Male,2025-05-21,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
72,Lakshit,Mallick,lakshit.mallick121@yahoo.com,+917117996317,"77/791, Ramesh Nagar",Delhi,Uttar Pradesh,India,24,Male,2026-02-06,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
73,Andrew,Edwards,andrew.edwards548@gmail.com,6747062429,1860 Riley Manors Suite 329,North Emilymouth,Connecticut,Bosnia and Herzegovina,44,Male,2025-02-16,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
74,Kabir,Rastogi,kabir.rastogi352@yahoo.com,+918992121804,"32/87, Mishra",Chennai,Kerala,India,21,Male,2024-11-01,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
75,Falak,Bhasin,falak.bhasin82@hotmail.com,+918818363810,"50, Sastry Chowk",Lucknow,Karnataka,India,31,Female,2024-06-20,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
76,Sudiksha,Srinivasan,sudiksha.srinivasan525@yahoo.com,+919416429308,"H.No. 242, Bala Nagar",Ahmedabad,Maharashtra,India,36,Female,2025-07-13,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
77,Zayyan,Kari,zayyan.kari674@outlook.com,+919612439355,"03/529
Sharma Path",Hyderabad,Uttar Pradesh,India,26,Non-Binary,2024-11-19,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
78,Gail,Rice,gail.rice688@gmail.com,447.345.5678x830,587 Bauer Forks,Sandovalshire,Massachusetts,Mauritania,65,Female,2025-10-26,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
79,Dakshesh,Batta,dakshesh.batta121@gmail.com,+918922081741,"11/94, Sachar Chowk",Jaipur,Delhi,India,20,Male,2026-02-21,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
80,Angie,Bradley,angie.bradley911@hotmail.com,(516)817-4519x94833,080 Smith Street Suite 686,Port Lisa,Missouri,United Kingdom,19,Female,2024-05-27,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
81,Isha,Kuruvilla,isha.kuruvilla702@outlook.com,+917298726565,"703, Mandal Zila",Jaipur,Karnataka,India,50,Female,2026-01-11,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
82,Diya,Kulkarni,diya.kulkarni550@yahoo.com,+918884721995,"99
Gaba Path",Nagpur,Tamil Nadu,India,25,Female,2025-12-22,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
83,Ekbal,Bir,ekbal.bir174@yahoo.com,+917124730491,"H.No. 174, Bajwa Nagar",Ahmedabad,Telangana,India,33,Male,2025-08-04,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
84,Eric,Cochran,eric.cochran146@gmail.com,458.702.7546x23923,9275 Jimmy Fields,East Alexandra,Indiana,Algeria,37,Male,2025-02-08,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
85,Katie,Knapp,katie.knapp110@outlook.com,512.330.8367x31975,91461 Walker Landing,Jonathonshire,Connecticut,Malawi,40,Female,2026-02-07,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
86,Parth,Suri,parth.suri821@gmail.com,+917950095470,"01/027, Ratta",Kochi,Delhi,India,36,Non-Binary,2024-04-09,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
87,James,Carr,james.carr160@outlook.com,001-649-941-8086x04192,23773 Matthew Trafficway Suite 217,Ashleyside,Michigan,Togo,58,Male,2025-07-10,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
88,Linda,Bailey,linda.bailey12@outlook.com,385-441-4367x70197,35254 Cook Locks,Port Ashleyfurt,Florida,Croatia,40,Female,2025-04-21,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
89,Dalbir,Walla,dalbir.walla80@yahoo.com,+919908976615,"793
Bir Nagar",Kochi,Maharashtra,India,18,Male,2024-10-16,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
90,Juan,Mcintosh,juan.mcintosh155@gmail.com,640.890.8695,41297 Cabrera Way,Davidchester,Iowa,Anguilla,50,Male,2024-06-02,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
91,George,Kannan,george.kannan796@outlook.com,+917668382806,"H.No. 00, Ramakrishnan Road",Kochi,Tamil Nadu,India,57,Male,2024-07-10,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
92,Priya,Shukla,priya.shukla622@hotmail.com,+918302778419,"H.No. 720
Mitra Nagar",Bengaluru,Uttar Pradesh,India,49,Female,2025-07-18,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
93,Paul,Wolfe,paul.wolfe58@hotmail.com,+1-619-387-7322,667 Eric Vista Suite 282,Lake Mariamouth,Pennsylvania,Bangladesh,44,Male,2025-10-09,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
94,Darika,Naidu,darika.naidu358@yahoo.com,+918055121931,"H.No. 819
Ramaswamy",Chandigarh,Tamil Nadu,India,39,Female,2026-01-19,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
95,Veronica,Snyder,veronica.snyder584@outlook.com,649.715.6945x43003,888 Ivan Cliffs Suite 184,Kimberlyshire,Maryland,Sri Lanka,55,Female,2025-04-19,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
96,Ian,Jensen,ian.jensen595@outlook.com,439.902.1284x6646,1146 Larry Field Apt. 053,Kochtown,Nebraska,Faroe Islands,49,Male,2025-10-17,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
97,Debra,Carey,debra.carey395@gmail.com,001-730-451-7264x719,2807 Conrad Passage,Andersonfort,Arkansas,Kenya,41,Female,2024-09-04,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
98,Widisha,Batta,widisha.batta547@gmail.com,+919539967187,"72, Krishna Road",Hyderabad,Gujarat,India,40,Female,2026-02-15,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
99,William,Barker,william.barker766@hotmail.com,370-412-2281x1556,8065 Matthew Summit Suite 582,Robertomouth,Rhode Island,Jordan,18,Male,2025-05-13,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
100,Nachiket,Pandya,nachiket.pandya351@gmail.com,+917354628492,"H.No. 143
Mann Chowk",Bengaluru,Tamil Nadu,India,44,Male,2024-08-23,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
101,Chameli,Sant,chameli.sant307@yahoo.com,+918080064335,"601, Luthra",Kolkata,Karnataka,India,61,Female,2024-09-02,True,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
102,Daksha,Suri,daksha.suri844@gmail.com,+918110938055,"47/214
Kala Street",Chennai,Karnataka,India,65,Female,2025-12-04,False,2026-04-07T09:19:46,synthetic_faker,7b5e2971-d08e-4fa8-91e6-ef272c4456f3,2026-04-07
